b100k_0;9826;1350825186682
b100k_1;9826;535835475074
b100k_2;9826;521279101911
b100k_3;9826;528288075485
b100k_4;9826;530582563519
b100k_5;9826;530627795170
b100k_6;9826;566380856100
b100k_7;9826;511289719006
b100k_8;9826;485606485201
b100k_9;9826;484297426149
b100_0;646;451584
b100_1;646;443392
b100_2;646;441600
b100_3;646;446209
b100_4;646;435969
b100_5;646;447745
b100_6;646;437248
b100_7;646;431360
b100_8;646;450560
b100_9;646;445953
b10k_0;8736;4074855481
b10k_1;8736;4110967125
b10k_2;8736;4123658847
b10k_3;8736;4131725925
b10k_4;8736;4069577525
b10k_5;8736;4065003570
b10k_6;8736;4045885731
b10k_7;8736;4046100771
b10k_8;8736;4023768338
b10k_9;8736;4051447079
b1k_0;4308;43943714
b1k_1;4308;40525087
b1k_2;4308;40516640
b1k_3;4308;40906784
b1k_4;4308;40961312
b1k_5;4308;44147234
b1k_6;4308;43720481
b1k_7;4308;43098657
b1k_8;4308;42007072
b1k_9;4308;41573152
b500_0;2435;10393096
b500_1;2435;10283272
b500_2;2435;10926857
b500_3;2435;10401287
b500_4;2435;10258951
b500_5;2435;11083784
b500_6;2435;10364168
b500_7;2435;10359305
b500_8;2435;10699272
b500_9;2435;10232840
b50k_0;9614;103649678835
b50k_1;9614;106944532181
b50k_2;9614;107145713776
b50k_3;9614;105544991907
b50k_4;9614;107403538741
b50k_5;9614;103908619706
b50k_6;9614;138797631076
b50k_7;9614;133556986795
b50k_8;9614;129604342992
b50k_9;9614;108917233345
b5k_0;7965;1049528358
b5k_1;7965;1038145309
b5k_2;7965;1128024419
b5k_3;7965;1023570962
b5k_4;7965;1020739856
b5k_5;7965;1016616205
b5k_6;7965;1064542770
b5k_7;7965;1050541863
b5k_8;7965;1026197524
b5k_9;7965;1055163947
